date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
1872-11-30,Friendly,Scotland,England,0,0,Draw,Friendly/Invitationals
1873-03-08,Friendly,England,Scotland,4,2,England,Friendly/Invitationals
1874-03-07,Friendly,Scotland,England,2,1,Scotland,Friendly/Invitationals
1875-03-06,Friendly,England,Scotland,2,2,Draw,Friendly/Invitationals
1876-03-04,Friendly,Scotland,England,3,0,Scotland,Friendly/Invitationals
1876-03-25,Friendly,Scotland,Wales,4,0,Scotland,Friendly/Invitationals
1877-03-03,Friendly,England,Scotland,1,3,Scotland,Friendly/Invitationals
1877-03-05,Friendly,Wales,Scotland,0,2,Scotland,Friendly/Invitationals
1878-03-02,Friendly,Scotland,England,7,2,Scotland,Friendly/Invitationals
1878-03-23,Friendly,Scotland,Wales,9,0,Scotland,Friendly/Invitationals
1879-01-18,Friendly,England,Wales,2,1,England,Friendly/Invitationals
1879-04-05,Friendly,England,Scotland,5,4,England,Friendly/Invitationals
1879-04-07,Friendly,Wales,Scotland,0,3,Scotland,Friendly/Invitationals
1880-03-13,Friendly,Scotland,England,5,4,Scotland,Friendly/Invitationals
1880-03-15,Friendly,Wales,England,2,3,England,Friendly/Invitationals
1880-03-27,Friendly,Scotland,Wales,5,1,Scotland,Friendly/Invitationals
1881-02-26,Friendly,England,Wales,0,1,Wales,Friendly/Invitationals
1881-03-12,Friendly,England,Scotland,1,6,Scotland,Friendly/Invitationals
1881-03-14,Friendly,Wales,Scotland,1,5,Scotland,Friendly/Invitationals
1882-02-18,Friendly,Northern Ireland,England,0,13,England,Friendly/Invitationals
1882-02-25,Friendly,Wales,Northern Ireland,7,1,Wales,Friendly/Invitationals
1882-03-11,Friendly,Scotland,England,5,1,Scotland,Friendly/Invitationals
1882-03-13,Friendly,Wales,England,5,3,Wales,Friendly/Invitationals
1882-03-25,Friendly,Scotland,Wales,5,0,Scotland,Friendly/Invitationals
1883-02-03,Friendly,England,Wales,5,0,England,Friendly/Invitationals
1883-02-24,Friendly,England,Northern Ireland,7,0,England,Friendly/Invitationals
1883-03-10,Friendly,England,Scotland,2,3,Scotland,Friendly/Invitationals
1883-03-12,Friendly,Wales,Scotland,0,3,Scotland,Friendly/Invitationals
1883-03-17,Friendly,Northern Ireland,Wales,1,1,Draw,Friendly/Invitationals
1884-01-26,British Home Championship,Northern Ireland,Scotland,0,5,Scotland,Other Tournaments
1884-02-09,British Home Championship,Wales,Northern Ireland,6,0,Wales,Other Tournaments
1884-02-23,British Home Championship,Northern Ireland,England,1,8,England,Other Tournaments
1884-03-15,British Home Championship,Scotland,England,1,0,Scotland,Other Tournaments
1884-03-17,British Home Championship,Wales,England,0,4,England,Other Tournaments
1884-03-29,British Home Championship,Scotland,Wales,4,1,Scotland,Other Tournaments
1885-02-28,British Home Championship,England,Northern Ireland,4,0,England,Other Tournaments
1885-03-14,British Home Championship,England,Wales,1,1,Draw,Other Tournaments
1885-03-14,British Home Championship,Scotland,Northern Ireland,8,2,Scotland,Other Tournaments
1885-03-21,British Home Championship,England,Scotland,1,1,Draw,Other Tournaments
1885-03-23,British Home Championship,Wales,Scotland,1,8,Scotland,Other Tournaments
1885-04-11,British Home Championship,Northern Ireland,Wales,2,8,Wales,Other Tournaments
1885-11-28,Friendly,United States,Canada,0,1,Canada,Friendly/Invitationals
1886-02-27,British Home Championship,Wales,Northern Ireland,5,0,Wales,Other Tournaments
1886-03-13,British Home Championship,Northern Ireland,England,1,6,England,Other Tournaments
1886-03-20,British Home Championship,Northern Ireland,Scotland,2,7,Scotland,Other Tournaments
1886-03-27,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1886-03-29,British Home Championship,Wales,England,1,3,England,Other Tournaments
1886-04-10,British Home Championship,Scotland,Wales,4,1,Scotland,Other Tournaments
1886-11-25,Friendly,United States,Canada,3,2,United States,Friendly/Invitationals
1887-02-05,British Home Championship,England,Northern Ireland,7,0,England,Other Tournaments
1887-02-19,British Home Championship,Scotland,Northern Ireland,4,1,Scotland,Other Tournaments
1887-02-26,British Home Championship,England,Wales,4,0,England,Other Tournaments
1887-03-12,British Home Championship,Northern Ireland,Wales,4,1,Northern Ireland,Other Tournaments
1887-03-19,British Home Championship,England,Scotland,2,3,Scotland,Other Tournaments
1887-03-21,British Home Championship,Wales,Scotland,0,2,Scotland,Other Tournaments
1888-02-04,British Home Championship,England,Wales,5,1,England,Other Tournaments
1888-03-03,British Home Championship,Wales,Northern Ireland,11,0,Wales,Other Tournaments
1888-03-10,British Home Championship,Scotland,Wales,5,1,Scotland,Other Tournaments
1888-03-17,British Home Championship,Scotland,England,0,5,England,Other Tournaments
1888-03-24,British Home Championship,Northern Ireland,Scotland,2,10,Scotland,Other Tournaments
1888-04-07,British Home Championship,Northern Ireland,England,1,5,England,Other Tournaments
1888-09-19,Friendly,Scotland,Canada,4,0,Scotland,Friendly/Invitationals
1889-02-23,British Home Championship,England,Wales,4,1,England,Other Tournaments
1889-03-02,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1889-03-09,British Home Championship,Scotland,Northern Ireland,7,0,Scotland,Other Tournaments
1889-04-13,British Home Championship,England,Scotland,2,3,Scotland,Other Tournaments
1889-04-15,British Home Championship,Wales,Scotland,0,0,Draw,Other Tournaments
1889-04-27,British Home Championship,Northern Ireland,Wales,1,3,Wales,Other Tournaments
1890-02-08,British Home Championship,Wales,Northern Ireland,5,2,Wales,Other Tournaments
1890-03-15,British Home Championship,Northern Ireland,England,1,9,England,Other Tournaments
1890-03-15,British Home Championship,Wales,England,1,3,England,Other Tournaments
1890-03-22,British Home Championship,Scotland,Wales,5,0,Scotland,Other Tournaments
1890-03-29,British Home Championship,Northern Ireland,Scotland,1,4,Scotland,Other Tournaments
1890-04-05,British Home Championship,Scotland,England,1,1,Draw,Other Tournaments
1891-02-07,British Home Championship,Northern Ireland,Wales,7,2,Northern Ireland,Other Tournaments
1891-03-07,British Home Championship,England,Wales,4,1,England,Other Tournaments
1891-03-07,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1891-03-21,British Home Championship,Wales,Scotland,3,4,Scotland,Other Tournaments
1891-03-28,British Home Championship,Scotland,Northern Ireland,2,1,Scotland,Other Tournaments
1891-04-04,British Home Championship,England,Scotland,2,1,England,Other Tournaments
1892-02-27,British Home Championship,Wales,Northern Ireland,1,1,Draw,Other Tournaments
1892-03-05,British Home Championship,Northern Ireland,England,0,2,England,Other Tournaments
1892-03-05,British Home Championship,Wales,England,0,2,England,Other Tournaments
1892-03-19,British Home Championship,Northern Ireland,Scotland,2,3,Scotland,Other Tournaments
1892-03-26,British Home Championship,Scotland,Wales,6,1,Scotland,Other Tournaments
1892-04-02,British Home Championship,Scotland,England,1,4,England,Other Tournaments
1893-02-25,British Home Championship,England,Northern Ireland,6,1,England,Other Tournaments
1893-03-13,British Home Championship,England,Wales,6,0,England,Other Tournaments
1893-03-18,British Home Championship,Wales,Scotland,0,8,Scotland,Other Tournaments
1893-03-25,British Home Championship,Scotland,Northern Ireland,6,1,Scotland,Other Tournaments
1893-04-01,British Home Championship,England,Scotland,5,2,England,Other Tournaments
1894-02-24,British Home Championship,Wales,Northern Ireland,4,1,Wales,Other Tournaments
1894-03-03,British Home Championship,Northern Ireland,England,2,2,Draw,Other Tournaments
1894-03-12,British Home Championship,Wales,England,1,5,England,Other Tournaments
1894-03-24,British Home Championship,Scotland,Wales,5,2,Scotland,Other Tournaments
1894-03-31,British Home Championship,Northern Ireland,Scotland,1,2,Scotland,Other Tournaments
1894-04-07,British Home Championship,Scotland,England,2,2,Draw,Other Tournaments
1895-03-09,British Home Championship,England,Northern Ireland,9,0,England,Other Tournaments
1895-03-16,British Home Championship,Northern Ireland,Wales,2,2,Draw,Other Tournaments
